Sl. No.,Level of Education - State,Primary - 2012-2013,Primary - 2014-2015,Primary - 2014-2015,Upper Primary - 2012-2013,Upper Primary - 2013-2014,Upper Primary - 2014-2015,Secondary - 2012-2013,Secondary - 2013-2014,Secondary - 2014-2015,Senior Secondary - 2012-2013,Senior Secondary - 2013-2014,Senior Secondary - 2014-2015,GDP
2,Andhra Pradesh,3.18,4.35,6.72,3.36,3.78,5.2,12.72,12.65,15.71,0.35,11.79,NA,104977
3,Arunachal Pradesh,15.16,10.89,10.82,7.47,5.59,6.71,12.93,14.49,17.11,5.11,17.07,18.42,112718
4,Assam,6.24,7.44,15.36,7.2,7.05,10.51,26.77,30.43,27.06,4.69,7.24,NA,60621
5,Bihar,NA,2.09,NA,NA,2.98,4.08,30.14,25.33,25.9,NA,NA,NA,33954
7,Chhatisgarh,4.14,1.42,2.91,5.42,3.8,5.85,14.86,23.41,21.26,NA,NA,2.76,86860
11,Goa,NA,0.2,0.73,NA,NA,0.07,7.96,9.58,11.15,11.26,13.36,13.91,271793
12,Gujarat,0.74,0.76,0.89,5.2,5.55,6.41,13.55,21.61,25.04,0.46,7.83,7.04,141263
13,Haryana,1.29,0.41,5.61,0.46,2.55,5.81,8.98,12.51,15.89,NA,2.18,5.75,164077
14,Himachal Pradesh,0.45,0.46,0.64,0.51,0.78,0.87,8.37,9.09,6.07,9.02,7.07,7.41,147330
16,Jharkhand,7.21,6.41,5.48,5.47,7.42,8.99,18.5,23.15,24,NA,NA,3.41,62091
17,Karnataka,2.97,2.32,2.02,5.05,2.51,3.85,39.92,27.57,26.18,15.33,NA,1.96,145141
18,Kerala,NA,NA,NA,NA,NA,NA,9.45,14.46,12.32,NA,6.4,0.47,154778
20,Madhya Pradesh,6.11,10.14,6.59,8.53,11.7,9.2,13.63,26.47,24.77,NA,1.55,NA,62989
21,Maharashtra,0.97,0.55,1.26,1.74,0.61,1.79,16.2,14.47,12.87,3.2,3.34,1.83,152853
22,Manipur,9.86,18,9.66,6.06,7.02,4.2,9.75,13.81,14.38,7.93,3.2,NA,58442
23,Meghalaya,10.14,10.34,9.46,7.85,6.84,6.52,26.03,24.75,20.52,NA,NA,NA,76228
24,Mizoram,24.11,12.96,10.1,19.28,6.02,4.78,21.42,18.7,21.88,NA,NA,6.91,97687
25,Nagaland,7.07,19.41,5.61,9.83,17.86,7.92,26.51,35.11,18.23,18.29,14.19,6.97,89607
26,Odisha,3.56,2.94,2.86,3.81,2.8,3.81,49.86,49.48,29.56,NA,NA,NA,73979
28,Punjab,1.99,1.29,3.05,2.78,2.85,3.22,9.8,8.83,8.86,8.28,5.81,5.83,126606
29,Rajasthan,7.97,8.39,5.02,4.42,6.03,3.07,13.65,18.77,13.48,NA,NA,NA,84837
30,Sikkim,3.6,4.57,2.27,3.15,5.14,1.57,9.23,12.89,15.89,8.1,12.91,11.76,240274
31,Tamil Nadu,4.06,0.46,NA,1.24,4.52,NA,10.2,12.2,8.1,1.87,4.44,3.41,146503
32,Telangana,NA,5.81,2.08,NA,4.71,2.3,NA,17.43,15.53,NA,13.43,0.77,139035
33,Tripura,2.22,3.58,1.28,3.08,2.72,1.99,25.5,25.09,28.42,8.87,9.11,8.93,77358
34,Uttar Pradesh,10.28,7.08,8.58,1.06,0.53,2.7,NA,7.3,10.22,NA,NA,2.1,49450
35,Uttrakhand,1.16,3.07,4.04,0.13,1.68,1.19,9.68,8.7,10.4,1.59,NA,3.01,153076
